RND,SEA,Date,HT,Home_State,AT,Away_State,FTHG,FTAG,GD,FTR
Round 3,2020,10/3/2020,PDRM FC,Kuala Lumpur,JDT,Johor,0,1,-1,A
Round 3,2020,11/3/2020,Felda United FC,Pahang,Melaka United FC,Melaka,3,2,1,H
Round 3,2020,11/3/2020,Perak FC,Perak,Petaling Jaya City FC,Selangor,2,0,2,H
Round 3,2020,11/3/2020,Terengganu FC,Terengganu,Selangor FC,Selangor,3,3,0,D
Round 3,2020,11/3/2020,UiTM FC,Selangor,Kedah Darul Aman FC,Kedah,1,1,0,D
Round 4,2020,14/3/2020,Sabah FC,Sabah,Perak FC,Perak,2,2,0,D
Round 4,2020,14/3/2020,JDT,Johor,Felda United FC,Pahang,1,1,0,D
Round 4,2020,14/3/2020,Melaka United FC,Melaka,Sri Pahang FC,Pahang,0,1,-1,A
Round 4,2020,15/3/2020,Kedah Darul Aman FC,Kedah,Selangor FC,Selangor,2,0,2,H
Round 4,2020,15/3/2020,UiTM FC,Selangor,PDRM FC,Kuala Lumpur,3,1,2,H
Round 4,2020,22/8/2020,Petaling Jaya City FC,Selangor,Terengganu FC,Terengganu,0,2,-2,A
Round 5,2020,28/8/2020,Sri Pahang FC,Pahang,JDT,Johor,2,3,-1,A
Round 5,2020,28/8/2020,Felda United FC,Pahang,UiTM FC,Selangor,0,1,-1,A
Round 5,2020,28/8/2020,Perak FC,Perak,Melaka United FC,Melaka,0,1,-1,A
Round 5,2020,29/8/2020,Terengganu FC,Terengganu,Sabah FC,Sabah,4,0,4,H
Round 5,2020,29/8/2020,PDRM FC,Kuala Lumpur,Kedah Darul Aman FC,Kedah,0,2,-2,A
Round 5,2020,29/8/2020,Selangor FC,Selangor,Petaling Jaya City FC,Selangor,0,0,0,D
Round 6,2020,4/9/2020,Sabah FC,Sabah,Selangor FC,Selangor,1,2,-1,A
Round 6,2020,4/9/2020,JDT,Johor,Perak FC,Perak,7,0,7,H
Round 6,2020,4/9/2020,Melaka United FC,Melaka,Terengganu FC,Terengganu,1,0,1,H
Round 6,2020,5/9/2020,Kedah Darul Aman FC,Kedah,Petaling Jaya City FC,Selangor,2,1,1,H
Round 6,2020,5/9/2020,PDRM FC,Kuala Lumpur,Felda United FC,Pahang,1,1,0,D
Round 6,2020,5/9/2020,UiTM FC,Selangor,Sri Pahang FC,Pahang,1,0,1,H
Round 7,2020,11/9/2020,Perak FC,Perak,UiTM FC,Selangor,1,0,1,H
Round 7,2020,11/9/2020,Selangor FC,Selangor,Melaka United FC,Melaka,1,1,0,D
Round 7,2020,11/9/2020,Terengganu FC,Terengganu,JDT,Johor,0,1,-1,A
Round 7,2020,12/9/2020,Felda United FC,Pahang,Kedah Darul Aman FC,Kedah,1,2,-1,A
Round 7,2020,12/9/2020,Sri Pahang FC,Pahang,PDRM FC,Kuala Lumpur,2,1,1,H
Round 7,2020,12/9/2020,Petaling Jaya City FC,Selangor,Sabah FC,Sabah,1,1,0,D
Round 8,2020,19/9/2020,JDT,Johor,Selangor FC,Selangor,6,1,5,H
Round 8,2020,19/9/2020,UiTM FC,Selangor,Terengganu FC,Terengganu,2,1,1,H
Round 8,2020,20/9/2020,Felda United FC,Pahang,Sri Pahang FC,Pahang,2,2,0,D
Round 8,2020,20/9/2020,Melaka United FC,Melaka,Petaling Jaya City FC,Selangor,1,1,0,D
Round 8,2020,20/9/2020,PDRM FC,Kuala Lumpur,Perak FC,Perak,0,2,-2,A
Round 8,2020,21/9/2020,Kedah Darul Aman FC,Kedah,Sabah FC,Sabah,3,1,2,H
Round 9,2020,25/9/2020,Perak FC,Perak,Felda United FC,Pahang,5,1,4,H
Round 9,2020,25/9/2020,Petaling Jaya City FC,Selangor,JDT,Johor,2,2,0,D
Round 9,2020,25/9/2020,Terengganu FC,Terengganu,PDRM FC,Kuala Lumpur,4,0,4,H
Round 9,2020,26/9/2020,Sri Pahang FC,Pahang,Kedah Darul Aman FC,Kedah,2,1,1,H
Round 9,2020,26/9/2020,Selangor FC,Selangor,UiTM FC,Selangor,3,3,0,D
Round 9,2020,27/9/2020,Sabah FC,Sabah,Melaka United FC,Melaka,3,2,1,H
Round 10,2020,2/10/2020,JDT,Johor,Sabah FC,Sabah,4,1,3,H
Round 10,2020,2/10/2020,UiTM FC,Selangor,Petaling Jaya City FC,Selangor,2,4,-2,A
Round 10,2020,3/10/2020,Felda United FC,Pahang,Terengganu FC,Terengganu,0,3,-3,A
Round 10,2020,3/10/2020,Sri Pahang FC,Pahang,Perak FC,Perak,3,3,0,D
Round 10,2020,3/10/2020,PDRM FC,Kuala Lumpur,Selangor FC,Selangor,0,7,-7,A
Round 10,2020,5/10/2020,Kedah Darul Aman FC,Kedah,Melaka United FC,Melaka,1,0,1,H
Round 11,2020,10/10/2020,Melaka United FC,Melaka,JDT,Johor,0,5,-5,A
Round 11,2020,10/10/2020,Petaling Jaya City FC,Selangor,PDRM FC,Kuala Lumpur,4,1,3,H
Round 11,2020,10/10/2020,Selangor FC,Selangor,Felda United FC,Pahang,6,1,5,H
Round 11,2020,11/10/2020,Perak FC,Perak,Kedah Darul Aman FC,Kedah,2,3,-1,A
Round 11,2020,11/10/2020,Terengganu FC,Terengganu,Sri Pahang FC,Pahang,2,1,1,H
Round 11,2020,31/10/2020,Sabah FC,Sabah,UiTM FC,Selangor,0,3,-3,A
Round 1,2021,5/3/2021,JDT,Johor,Kedah Darul Aman FC,Kedah,2,0,2,H
Round 1,2021,6/3/2021,Melaka United FC,Melaka,Sabah FC,Sabah,1,1,0,D
Round 1,2021,6/3/2021,Penang FC,Pulau Pinang,Kuala Lumpur City FC,Kuala Lumpur,1,0,1,H
Round 1,2021,6/3/2021,Selangor FC,Selangor,Sri Pahang FC,Pahang,3,1,2,H
Round 1,2021,6/3/2021,UiTM FC,Selangor,Terengganu FC,Terengganu,1,2,-1,A
Round 1,2021,7/3/2021,Perak FC,Perak,Petaling Jaya City FC,Selangor,0,0,0,D
Round 2,2021,9/3/2021,JDT,Johor,Penang FC,Pulau Pinang,2,0,2,H
Round 2,2021,9/3/2021,Kedah Darul Aman FC,Kedah,Sabah FC,Sabah,2,0,2,H
Round 2,2021,9/3/2021,Terengganu FC,Terengganu,Selangor FC,Selangor,3,1,2,H
Round 2,2021,10/3/2021,Kuala Lumpur City FC,Kuala Lumpur,UiTM FC,Selangor,1,0,1,H
Round 2,2021,10/3/2021,Sri Pahang FC,Pahang,Perak FC,Perak,0,2,-2,A
Round 2,2021,10/3/2021,Petaling Jaya City FC,Selangor,Melaka United FC,Melaka,2,2,0,D
Round 3,2021,12/3/2021,Penang FC,Pulau Pinang,Kedah Darul Aman FC,Kedah,1,1,0,D
Round 3,2021,13/3/2021,Sabah FC,Sabah,Petaling Jaya City FC,Selangor,0,1,-1,A
Round 3,2021,13/3/2021,Melaka United FC,Melaka,Sri Pahang FC,Pahang,0,0,0,D
Round 3,2021,13/3/2021,Selangor FC,Selangor,Kuala Lumpur City FC,Kuala Lumpur,1,1,0,D
Round 3,2021,13/3/2021,UiTM FC,Selangor,JDT,Johor,0,4,-4,A
Round 3,2021,14/3/2021,Perak FC,Perak,Terengganu FC,Terengganu,0,2,-2,A
Round 4,2021,16/3/2021,Sri Pahang FC,Pahang,Sabah FC,Sabah,2,1,1,H
Round 4,2021,16/3/2021,Penang FC,Pulau Pinang,UiTM FC,Selangor,0,0,0,D
Round 4,2021,17/3/2021,JDT,Johor,Selangor FC,Selangor,1,1,0,D
Round 4,2021,17/3/2021,Kedah Darul Aman FC,Kedah,Petaling Jaya City FC,Selangor,3,1,2,H
Round 4,2021,17/3/2021,Kuala Lumpur City FC,Kuala Lumpur,Perak FC,Perak,3,0,3,H
Round 4,2021,17/3/2021,Terengganu FC,Terengganu,Melaka United FC,Melaka,1,1,0,D
Round 5,2021,20/3/2021,Melaka United FC,Melaka,Kuala Lumpur City FC,Kuala Lumpur,2,1,1,H
Round 5,2021,20/3/2021,Selangor FC,Selangor,Penang FC,Pulau Pinang,0,2,-2,A
Round 5,2021,20/3/2021,UiTM FC,Selangor,Kedah Darul Aman FC,Kedah,0,1,-1,A
Round 5,2021,21/3/2021,Sabah FC,Sabah,Terengganu FC,Terengganu,2,1,1,H
Round 5,2021,21/3/2021,Perak FC,Perak,JDT,Johor,2,2,0,D
Round 5,2021,21/3/2021,Petaling Jaya City FC,Selangor,Sri Pahang FC,Pahang,1,0,1,H
Round 6,2021,2/4/2021,JDT,Johor,Melaka United FC,Melaka,3,0,3,H
Round 6,2021,2/4/2021,Kedah Darul Aman FC,Kedah,Sri Pahang FC,Pahang,3,1,2,H
Round 6,2021,2/4/2021,Terengganu FC,Terengganu,Petaling Jaya City FC,Selangor,0,0,0,D
Round 6,2021,3/4/2021,Kuala Lumpur City FC,Kuala Lumpur,Sabah FC,Sabah,0,0,0,D
Round 6,2021,3/4/2021,Penang FC,Pulau Pinang,Perak FC,Perak,2,1,1,H
Round 6,2021,3/4/2021,UiTM FC,Selangor,Selangor FC,Selangor,0,2,-2,A
Round 7,2021,6/4/2021,Sabah FC,Sabah,JDT,Johor,1,4,-3,A
Round 7,2021,6/4/2021,Melaka United FC,Melaka,Penang FC,Pulau Pinang,1,2,-1,A
Round 7,2021,6/4/2021,Sri Pahang FC,Pahang,Terengganu FC,Terengganu,1,1,0,D
Round 7,2021,6/4/2021,Selangor FC,Selangor,Kedah Darul Aman FC,Kedah,1,2,-1,A
Round 7,2021,7/4/2021,Perak FC,Perak,UiTM FC,Selangor,3,2,1,H
Round 7,2021,7/4/2021,Petaling Jaya City FC,Selangor,Kuala Lumpur City FC,Kuala Lumpur,2,2,0,D
Round 8,2021,9/4/2021,Kedah Darul Aman FC,Kedah,Terengganu FC,Terengganu,1,2,-1,A
Round 8,2021,10/4/2021,JDT,Johor,Petaling Jaya City FC,Selangor,3,0,3,H
Round 8,2021,10/4/2021,Kuala Lumpur City FC,Kuala Lumpur,Sri Pahang FC,Pahang,2,1,1,H
Round 8,2021,10/4/2021,Selangor FC,Selangor,Perak FC,Perak,3,1,2,H
Round 8,2021,10/4/2021,UiTM FC,Selangor,Melaka United FC,Melaka,0,3,-3,A
Round 8,2021,11/4/2021,Penang FC,Pulau Pinang,Sabah FC,Sabah,1,1,0,D
Round 9,2021,16/4/2021,Sri Pahang FC,Pahang,JDT,Johor,0,2,-2,A
Round 9,2021,16/4/2021,Terengganu FC,Terengganu,Kuala Lumpur City FC,Kuala Lumpur,1,0,1,H
Round 9,2021,17/4/2021,Sabah FC,Sabah,UiTM FC,Selangor,4,0,4,H
Round 9,2021,17/4/2021,Perak FC,Perak,Kedah Darul Aman FC,Kedah,1,1,0,D
Round 9,2021,18/4/2021,Melaka United FC,Melaka,Selangor FC,Selangor,2,3,-1,A
Round 9,2021,18/4/2021,Petaling Jaya City FC,Selangor,Penang FC,Pulau Pinang,1,1,0,D
Round 10,2021,23/4/2021,Kedah Darul Aman FC,Kedah,Kuala Lumpur City FC,Kuala Lumpur,3,2,1,H
Round 10,2021,23/4/2021,Selangor FC,Selangor,Sabah FC,Sabah,2,2,0,D
Round 10,2021,24/4/2021,Penang FC,Pulau Pinang,Sri Pahang FC,Pahang,3,0,3,H
Round 10,2021,24/4/2021,UiTM FC,Selangor,Petaling Jaya City FC,Selangor,0,1,-1,A
Round 10,2021,24/4/2021,JDT,Johor,Terengganu FC,Terengganu,0,1,-1,A
Round 10,2021,25/4/2021,Perak FC,Perak,Melaka United FC,Melaka,0,1,-1,A
Round 11,2021,30/4/2021,Kuala Lumpur City FC,Kuala Lumpur,JDT,Johor,1,1,0,D
Round 11,2021,30/4/2021,Melaka United FC,Melaka,Kedah Darul Aman FC,Kedah,1,3,-2,A
Round 11,2021,1/5/2021,Sri Pahang FC,Pahang,UiTM FC,Selangor,5,0,5,H
Round 11,2021,1/5/2021,Terengganu FC,Terengganu,Penang FC,Pulau Pinang,2,5,-3,A
Round 11,2021,2/5/2021,Sabah FC,Sabah,Perak FC,Perak,2,1,1,H
Round 11,2021,2/5/2021,Petaling Jaya City FC,Selangor,Selangor FC,Selangor,1,2,-1,A
Round 12,2021,4/5/2021,Kedah Darul Aman FC,Kedah,JDT,Johor,0,1,-1,A
Round 12,2021,4/5/2021,Kuala Lumpur City FC,Kuala Lumpur,Penang FC,Pulau Pinang,3,1,2,H
Round 12,2021,4/5/2021,Terengganu FC,Terengganu,UiTM FC,Selangor,3,0,3,H
Round 12,2021,5/5/2021,Sabah FC,Sabah,Melaka United FC,Melaka,3,1,2,H
Round 12,2021,5/5/2021,Sri Pahang FC,Pahang,Selangor FC,Selangor,2,2,0,D
Round 12,2021,5/5/2021,Petaling Jaya City FC,Selangor,Perak FC,Perak,0,1,-1,A
Round 13,2021,8/5/2021,Sabah FC,Sabah,Kedah Darul Aman FC,Kedah,0,1,-1,A
Round 13,2021,8/5/2021,Penang FC,Pulau Pinang,JDT,Johor,0,3,-3,A
Round 13,2021,8/5/2021,UiTM FC,Selangor,Kuala Lumpur City FC,Kuala Lumpur,1,1,0,D
Round 13,2021,9/5/2021,Melaka United FC,Melaka,Petaling Jaya City FC,Selangor,0,0,0,D
Round 13,2021,9/5/2021,Perak FC,Perak,Sri Pahang FC,Pahang,2,3,-1,A
Round 13,2021,9/5/2021,Selangor FC,Selangor,Terengganu FC,Terengganu,1,2,-1,A
Round 14,2021,24/7/2021,Kuala Lumpur City FC,Kuala Lumpur,Selangor FC,Selangor,1,1,0,D
Round 14,2021,24/7/2021,Petaling Jaya City FC,Selangor,Sabah FC,Sabah,1,0,1,H
Round 14,2021,24/7/2021,Terengganu FC,Terengganu,Perak FC,Perak,5,0,5,H
Round 14,2021,25/7/2021,JDT,Johor,UiTM FC,Selangor,3,1,2,H
Round 14,2021,25/7/2021,Sri Pahang FC,Pahang,Melaka United FC,Melaka,1,1,0,D
Round 14,2021,17/8/2021,Kedah Darul Aman FC,Kedah,Penang FC,Pulau Pinang,4,1,3,H
Round 15,2021,27/7/2021,Perak FC,Perak,Kuala Lumpur City FC,Kuala Lumpur,0,0,0,D
Round 15,2021,28/7/2021,Sabah FC,Sabah,Sri Pahang FC,Pahang,2,2,0,D
Round 15,2021,28/7/2021,Melaka United FC,Melaka,Terengganu FC,Terengganu,2,0,2,H
Round 15,2021,28/7/2021,Selangor FC,Selangor,JDT,Johor,1,3,-2,A
Round 15,2021,28/7/2021,UiTM FC,Selangor,Penang FC,Pulau Pinang,0,1,-1,A
Round 15,2021,25/8/2021,Petaling Jaya City FC,Selangor,Kedah Darul Aman FC,Kedah,1,4,-3,A
Round 16,2021,31/7/2021,JDT,Johor,Perak FC,Perak,5,0,5,H
Round 16,2021,31/7/2021,Penang FC,Pulau Pinang,Selangor FC,Selangor,1,4,-3,A
Round 16,2021,31/7/2021,Kuala Lumpur City FC,Kuala Lumpur,Melaka United FC,Melaka,1,1,0,D
Round 16,2021,1/8/2021,Sri Pahang FC,Pahang,Petaling Jaya City FC,Selangor,1,0,1,H
Round 16,2021,1/8/2021,Terengganu FC,Terengganu,Sabah FC,Sabah,0,0,0,D
Round 16,2021,8/9/2021,Kedah Darul Aman FC,Kedah,UiTM FC,Selangor,3,3,0,D
Round 17,2021,3/8/2021,Melaka United FC,Melaka,JDT,Johor,0,1,-1,A
Round 17,2021,3/8/2021,Perak FC,Perak,Penang FC,Pulau Pinang,3,5,-2,A
Round 17,2021,3/8/2021,Selangor FC,Selangor,UiTM FC,Selangor,2,0,2,H
Round 17,2021,4/8/2021,Sabah FC,Sabah,Kuala Lumpur City FC,Kuala Lumpur,1,1,0,D
Round 17,2021,4/8/2021,Petaling Jaya City FC,Selangor,Terengganu FC,Terengganu,0,3,-3,A
Round 17,2021,1/9/2021,Sri Pahang FC,Pahang,Kedah Darul Aman FC,Kedah,2,2,0,D
Round 18,2021,7/8/2021,Penang FC,Pulau Pinang,Melaka United FC,Melaka,2,1,1,H
Round 18,2021,7/8/2021,UiTM FC,Selangor,Perak FC,Perak,2,0,2,H
Round 18,2021,7/8/2021,Kuala Lumpur City FC,Kuala Lumpur,Petaling Jaya City FC,Selangor,1,0,1,H
Round 18,2021,7/8/2021,Terengganu FC,Terengganu,Sri Pahang FC,Pahang,2,0,2,H
Round 18,2021,8/8/2021,JDT,Johor,Sabah FC,Sabah,2,0,2,H
Round 18,2021,13/8/2021,Kedah Darul Aman FC,Kedah,Selangor FC,Selangor,2,4,-2,A
Round 19,2021,20/8/2021,Sri Pahang FC,Pahang,Kuala Lumpur City FC,Kuala Lumpur,0,2,-2,A
Round 19,2021,21/8/2021,Petaling Jaya City FC,Selangor,JDT,Johor,0,2,-2,A
Round 19,2021,21/8/2021,Terengganu FC,Terengganu,Kedah Darul Aman FC,Kedah,1,2,-1,A
Round 19,2021,21/8/2021,Perak FC,Perak,Selangor FC,Selangor,0,3,-3,A
Round 19,2021,22/8/2021,Sabah FC,Sabah,Penang FC,Pulau Pinang,0,3,-3,A
Round 19,2021,22/8/2021,Melaka United FC,Melaka,UiTM FC,Selangor,1,1,0,D
Round 20,2021,27/8/2021,JDT,Johor,Sri Pahang FC,Pahang,3,0,3,H
Round 20,2021,28/8/2021,Kedah Darul Aman FC,Kedah,Perak FC,Perak,1,0,1,H
Round 20,2021,28/8/2021,Selangor FC,Selangor,Melaka United FC,Melaka,1,1,0,D
Round 20,2021,28/8/2021,UiTM FC,Selangor,Sabah FC,Sabah,4,0,4,H
Round 20,2021,29/8/2021,Kuala Lumpur City FC,Kuala Lumpur,Terengganu FC,Terengganu,1,0,1,H
Round 20,2021,29/8/2021,Penang FC,Pulau Pinang,Petaling Jaya City FC,Selangor,2,1,1,H
Round 21,2021,3/9/2021,Melaka United FC,Melaka,Perak FC,Perak,2,1,1,H
Round 21,2021,4/9/2021,Kuala Lumpur City FC,Kuala Lumpur,Kedah Darul Aman FC,Kedah,2,1,1,H
Round 21,2021,4/9/2021,Terengganu FC,Terengganu,JDT,Johor,0,1,-1,A
Round 21,2021,4/9/2021,Petaling Jaya City FC,Selangor,UiTM FC,Selangor,1,0,1,H
Round 21,2021,5/9/2021,Sabah FC,Sabah,Selangor FC,Selangor,0,6,-6,A
Round 21,2021,5/9/2021,Sri Pahang FC,Pahang,Penang FC,Pulau Pinang,1,2,-1,A
Round 22,2021,12/9/2021,Kedah Darul Aman FC,Kedah,Melaka United FC,Melaka,4,1,3,H
Round 22,2021,12/9/2021,Perak FC,Perak,Sabah FC,Sabah,2,1,1,H
Round 22,2021,12/9/2021,Selangor FC,Selangor,Petaling Jaya City FC,Selangor,1,2,-1,A
Round 22,2021,12/9/2021,JDT,Johor,Kuala Lumpur City FC,Kuala Lumpur,2,1,1,H
Round 22,2021,12/9/2021,Penang FC,Pulau Pinang,Terengganu FC,Terengganu,2,2,0,D
Round 22,2021,12/9/2021,UiTM FC,Selangor,Sri Pahang FC,Pahang,1,0,1,H
Round 1,2022,4/3/2022,Sabah FC,Sabah,Negeri Sembilan FC,Negeri Sembilan,0,1,-1,A
Round 1,2022,4/3/2022,JDT,Johor,Penang FC,Pulau Pinang,1,0,1,H
Round 1,2022,4/3/2022,Sarawak United FC,Sarawak,Kedah Darul Aman FC,Kedah,0,1,-1,A
Round 1,2022,4/3/2022,Kuala Lumpur City FC,Kuala Lumpur,Selangor FC,Selangor,3,3,0,D
Round 1,2022,5/3/2022,Petaling Jaya City FC,Selangor,Melaka United FC,Melaka,1,0,1,H
Round 1,2022,21/8/2022,Sri Pahang FC,Pahang,Terengganu FC,Terengganu,1,2,-1,A
Round 2,2022,8/3/2022,Penang FC,Pulau Pinang,Melaka United FC,Melaka,1,1,0,D
Round 2,2022,9/3/2022,Sabah FC,Sabah,Petaling Jaya City FC,Selangor,3,1,2,H
Round 2,2022,9/3/2022,JDT,Johor,Sarawak United FC,Sarawak,6,0,6,H
Round 2,2022,9/3/2022,Kedah Darul Aman FC,Kedah,Kuala Lumpur City FC,Kuala Lumpur,3,2,1,H
Round 2,2022,29/4/2022,Selangor FC,Selangor,Sri Pahang FC,Pahang,3,1,2,H
Round 2,2022,29/6/2022,Terengganu FC,Terengganu,Negeri Sembilan FC,Negeri Sembilan,0,0,0,D
Round 3,2022,5/4/2022,Sarawak United FC,Sarawak,Penang FC,Pulau Pinang,1,1,0,D
Round 3,2022,5/4/2022,Melaka United FC,Melaka,Sabah FC,Sabah,0,1,-1,A
Round 3,2022,5/4/2022,Negeri Sembilan FC,Negeri Sembilan,Selangor FC,Selangor,2,2,0,D
Round 3,2022,6/4/2022,Kedah Darul Aman FC,Kedah,Sri Pahang FC,Pahang,1,0,1,H
Round 3,2022,6/4/2022,Kuala Lumpur City FC,Kuala Lumpur,JDT,Johor,0,3,-3,A
Round 3,2022,6/4/2022,Petaling Jaya City FC,Selangor,Terengganu FC,Terengganu,3,0,3,H
Round 4,2022,9/4/2022,Kuala Lumpur City FC,Kuala Lumpur,Melaka United FC,Melaka,2,0,2,H
Round 4,2022,9/4/2022,Penang FC,Pulau Pinang,Negeri Sembilan FC,Negeri Sembilan,1,1,0,D
Round 4,2022,9/4/2022,Sri Pahang FC,Pahang,Petaling Jaya City FC,Selangor,1,1,0,D
Round 4,2022,10/4/2022,Sarawak United FC,Sarawak,Sabah FC,Sabah,0,1,-1,A
Round 4,2022,10/4/2022,JDT,Johor,Terengganu FC,Terengganu,2,1,1,H
Round 4,2022,10/4/2022,Selangor FC,Selangor,Kedah Darul Aman FC,Kedah,4,1,3,H
Round 5,2022,16/4/2022,Kuala Lumpur City FC,Kuala Lumpur,Sabah FC,Sabah,2,0,2,H
Round 5,2022,16/4/2022,Negeri Sembilan FC,Negeri Sembilan,Petaling Jaya City FC,Selangor,3,1,2,H
Round 5,2022,16/4/2022,Sri Pahang FC,Pahang,Melaka United FC,Melaka,1,2,-1,A
Round 5,2022,17/4/2022,Sarawak United FC,Sarawak,Terengganu FC,Terengganu,0,2,-2,A
Round 5,2022,17/4/2022,Penang FC,Pulau Pinang,Kedah Darul Aman FC,Kedah,1,2,-1,A
Round 5,2022,24/6/2022,JDT,Johor,Selangor FC,Selangor,5,1,4,H
Round 6,2022,22/4/2022,Terengganu FC,Terengganu,Selangor FC,Selangor,2,0,2,H
Round 6,2022,23/4/2022,Petaling Jaya City FC,Selangor,Sarawak United FC,Sarawak,1,3,-2,A
Round 6,2022,23/4/2022,Sri Pahang FC,Pahang,Penang FC,Pulau Pinang,3,1,2,H
Round 6,2022,24/4/2022,Sabah FC,Sabah,Kedah Darul Aman FC,Kedah,4,0,4,H
